,time,patients in ATU,all patients waiting,patients at admin,patients between treatment cycles,patients at consultation,patients at treatment,patients at pharmacy,patients in between treatments,patients at cashier,patients ADR,priority 1 patients waiting,priority 2 patients waiting,priority 3 patients waiting,resources occupied,nurses occupied,docs occupied,chairs occupied,pharmacists occupied,cashiers occupied,nurse utilization,doc utilization,chair utilization,cashier utilization,pharmacist utilization,datetime,cost per unit time
37,2220,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 13:00:00,0.0
38,2280,1,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,2020-01-02 14:00:00,0.14
39,2340,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 15:00:00,0.0
40,2400,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 16:00:00,0.0
41,2460,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 17:00:00,0.0
42,2520,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 18:00:00,0.0
43,2580,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 19:00:00,0.0
44,2640,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 20:00:00,0.0
45,2700,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 21:00:00,0.0
46,2760,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 22:00:00,0.0
47,2820,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-02 23:00:00,0.0
48,2880,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 00:00:00,0.0
49,2940,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 01:00:00,0.0
50,3000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 02:00:00,0.0
51,3060,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 03:00:00,0.0
52,3120,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 04:00:00,0.0
53,3180,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 05:00:00,0.0
54,3240,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 06:00:00,0.0
55,3300,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 07:00:00,0.0
56,3360,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 08:00:00,0.0
57,3420,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-01-03 09:00:00,0.0
